"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-11-000807","BPA1","2022-02-11","2022-03-09","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-08-001480","BPA1","2022-03-08","2022-03-08","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-04-001356","BPA1","2022-03-04","2022-03-24","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-03-003144","BPA1","2022-05-03","2022-05-05","APPROVAL_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-05-05-003254","BPA1","2022-05-05","2022-05-05","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-05-05-003258","BPA1","2022-05-05","2022-05-05","APPROVED","BP/BED/000180","2022-05-12"
"Berhampurdevelopmentauthority","BP-BED-2022-05-05-003256","BPA1","2022-05-05","2022-05-05","APPROVED","BP/BED/000183","2022-05-12"
"Berhampurdevelopmentauthority","BP-BED-2022-04-30-003068","BPA1","2022-04-30","2022-05-05","APPROVED","BP/BED/000186","2022-05-12"
"Berhampurdevelopmentauthority","BP-BED-2022-04-30-003064","BPA1","2022-04-30","2022-05-05","APPROVED","BP/BED/000188","2022-05-12"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-11-003492","BPA1","2022-05-11","2022-05-13","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-04-15-002541","BPA1","2022-04-15","2022-04-15","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-17-001789","BPA2","2022-03-17","2022-03-25","APPROVAL_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-04-28-002984","BPA1","2022-04-28","2022-04-28","APPROVED","BP/BED/000175","2022-05-10"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-25-001950","BPA2","2022-03-25","2022-03-25","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-12-003530","BPA1","2022-05-12",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-28-002994","BPA1","2022-04-28","2022-04-28","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Berhampur","BP-BAM-2022-05-04-003174","BPA1","2022-05-04","2022-05-04","APPROVAL_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-03-22-001874","BPA2","2022-03-22","2022-03-25","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-11-002430","BPA1","2022-04-11","2022-04-11","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-14-001691","BPA2","2022-03-14","2022-03-21","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF",NULL,NULL
"Berhampur","BP-BAM-2022-05-17-003648","BPA1","2022-05-17","2022-05-18","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-12-003531","BPA3","2022-05-12","2022-05-18","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-10-003464","BPA2","2022-05-10","2022-05-13","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-05-11-003467","BPA2","2022-05-11",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-10-003458","BPA1","2022-05-10","2022-05-11","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-09-003396","BPA1","2022-05-09",NULL,"PENDING_APPL_FEE",NULL,NULL
"Berhampur","BP-BAM-2022-05-19-003703","BPA1","2022-05-19","2022-05-19","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-04-30-003078","BPA1","2022-04-30","2022-04-30","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-12-003534","BPA1","2022-05-12",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-19-000987","BPA1","2022-02-19","2022-02-24","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-28-002988","BPA1","2022-04-28","2022-04-28","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Berhampur","BP-BAM-2022-05-17-003649","BPA1","2022-05-17",NULL,"PENDING_APPL_FEE",NULL,NULL
"Berhampur","BP-BAM-2022-04-01-002106","BPA1","2022-04-01","2022-05-10","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-02-003118","BPA1","2022-05-02","2022-05-05","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-14-000858","BPA1","2022-02-14","2022-02-18","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-27-002939","BPA1","2022-04-27","2022-04-27","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-22-001889","BPA1","2022-03-22","2022-03-31","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-24-002815","BPA1","2022-04-24","2022-04-28","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-24-002816","BPA1","2022-04-24","2022-04-24","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-24-002820","BPA1","2022-04-24","2022-04-24","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-08-001509","BPA1","2022-03-08","2022-04-11","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-31-002074","BPA1","2022-03-31","2022-03-31","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-04-18-002607","BPA1","2022-04-18","2022-04-24","APPROVED","BP/BAM/000196","2022-05-19"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-17-000935","BPA1","2022-02-17","2022-03-04","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Berhampur","BP-BAM-2022-05-16-003632","BPA1","2022-05-16","2022-05-20","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-12-003537","BPA1","2022-05-12","2022-05-13","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-18-000964","BPA1","2022-02-18","2022-02-18","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-16-003633","BPA2","2022-05-16",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-24-001147","BPA1","2022-02-24","2022-03-04","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-22-001033","BPA1","2022-02-22","2022-02-22","APPROVAL_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-05-12-003540","BPA2","2022-05-12",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-27-002934","BPA1","2022-04-27","2022-05-01","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Rourkela","BP-RRK-2022-04-04-002177","BPA2","2022-04-04","2022-05-11","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-29-003037","BPA2","2022-04-29","2022-04-30","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-07-000717","BPA1","2022-02-07","2022-02-08","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-02-001270","BPA1","2022-03-02","2022-03-23","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-02-001311","BPA1","2022-03-02","2022-03-04","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-16-003635","BPA2","2022-05-16",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-03-003142","BPA1","2022-05-03","2022-05-05","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-12-003544","BPA2","2022-05-12","2022-05-12","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-24-002821","BPA1","2022-04-24","2022-04-24","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-05-001400","BPA1","2022-03-05","2022-03-16","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-23-001076","BPA1","2022-02-23","2022-02-24","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-09-001546","BPA1","2022-03-09","2022-03-09","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-09-001551","BPA1","2022-03-09","2022-03-10","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-11-001599","BPA1","2022-03-11","2022-03-14","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-31-002052","BPA1","2022-03-31","2022-05-07","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-16-003636","BPA1","2022-05-16",NULL,"INITIATED",NULL,NULL
"Cuttack","BP-CTC-2022-04-22-002765","BPA2","2022-04-22","2022-05-17","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-07-002301","BPA1","2022-04-07",NULL,"CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-11-002407","BPA1","2022-04-11","2022-04-11","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-18-002603","BPA1","2022-04-18","2022-04-20","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-24-002819","BPA1","2022-04-24","2022-04-24","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-16-003639","BPA1","2022-05-16",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-07-000707","BPA2","2022-02-07","2022-02-07","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-11-000811","BPA1","2022-02-11","2022-03-17","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-14-000870","BPA1","2022-02-14","2022-02-15","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-12-000828","BPA1","2022-02-12","2022-02-16","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-27-002937","BPA1","2022-04-27","2022-05-01","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-04-000688","BPA1","2022-02-04","2022-02-08","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-12-001625","BPA1","2022-03-12","2022-03-12","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-21-002722","BPA1","2022-04-21","2022-04-22","APPROVAL_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-05-15-003615","BPA1","2022-05-15","2022-05-18","APPROVED","BP/CTC/000195","2022-05-18"
"Cuttack","BP-CTC-2022-05-17-003643","BPA1","2022-05-17","2022-05-18","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-14-002536","BPA2","2022-04-14","2022-04-21","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-04-04-002188","BPA2","2022-04-04","2022-04-08","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Berhampur","BP-BAM-2022-05-04-003168","BPA1","2022-05-04","2022-05-04","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-19-003740","BPA1","2022-05-19",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-30-003067","BPA2","2022-04-30","2022-05-19","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-26-001957","BPA2","2022-03-26","2022-03-26","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-02-22-001059","BPA2","2022-02-22","2022-05-11","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-18-003691","BPA1","2022-05-18","2022-05-18","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-05-001395","BPA1","2022-03-05","2022-03-11","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Berhampur","BP-BAM-2022-05-07-003333","BPA1","2022-05-07","2022-05-11","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-01-08-000284","BPA1","2022-01-08","2022-05-19","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-04-12-002478","BPA1","2022-04-12","2022-04-12","APPROVED","BP/BAM/000197","2022-05-19"
"Berhampur","BP-BAM-2022-05-07-003309","BPA1","2022-05-07","2022-05-07","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-11-001608","BPA1","2022-03-11","2022-03-11","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-04-001362","BPA1","2022-03-04","2022-03-11","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-08-002362","BPA2","2022-04-08","2022-04-09","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-23-002794","BPA2","2022-04-23","2022-04-25","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-23-002791","BPA1","2022-04-23","2022-05-04","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-06-001436","BPA1","2022-03-06","2022-03-16","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-03-001334","BPA2","2022-03-03","2022-03-07","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-30-002021","BPA1","2022-03-30","2022-04-01","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-12-001634","BPA1","2022-03-12","2022-03-22","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-04-003169","BPA1","2022-05-04","2022-05-04","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-20-002679","BPA1","2022-04-20","2022-04-21","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-16-003640","BPA1","2022-05-16","2022-05-17","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-08-003354","BPA1","2022-05-08","2022-05-09","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Berhampur","BP-BAM-2022-05-12-003552","BPA1","2022-05-12","2022-05-12","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-01-29-000578","BPA1","2022-01-29","2022-03-08","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-24-001930","BPA2","2022-03-24","2022-03-24","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-10-002396","BPA1","2022-04-10","2022-04-10","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-13-002499","BPA1","2022-04-13","2022-04-13","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-06-003288","BPA1","2022-05-06","2022-05-07","APPROVAL_INPROGRESS",NULL,NULL
